VAR,Variable,ICU_Type,Statistics_Type,Measure,COU,Country,Continent,Year,OBS_VALUE
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 100 000 population,ISR,Israel,Asia,2015,9.52
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 100 000 population,ISR,Israel,Asia,2015,9.13
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 100 000 population,FRA,France,Europe,2015,15.95
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,EST,Estonia,Europe,2015,0.37
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 100 000 population,FRA,France,Europe,2015,2.9
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 1 000 population,ISR,Israel,Asia,2015,0.1
ICUBAMAX,Total adult ICU beds (maximum),Adult ICU,Maximum,Per 100 000 population,NLD,Netherlands,Europe,2015,13.03
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 1 000 population,FRA,France,Europe,2015,0.27
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 1 000 population,AUT,Austria,Europe,2015,0.13
ICUBCMAX,Critical care adult beds (maximum),Critical Care Adult ICU,Maximum,Per 1 000 population,ISR,Israel,Asia,2015,0.1
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 1 000 population,AUS,Australia,Oceania,2015,0.07
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 1 000 population,CAN,Canada,North America,2015,0.04
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 1 000 population,DEU,Germany,Europe,2015,0.3
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,JPN,Japan,Asia,2015,0.17
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 100 000 population,CAN,Canada,North America,2015,0.63
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 1 000 population,PRT,Portugal,Europe,2015,0.08
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 100 000 population,DEU,Germany,Europe,2015,2.41
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 100 000 population,MEX,Mexico,North America,2015,6.83
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 100 000 population,TUR,Türkiye,Asia,2015,13.29
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 100 000 population,JPN,Japan,Asia,2015,12.81
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 1 000 population,PRT,Portugal,Europe,2015,0.02
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,% of available beds,PRT,Portugal,Europe,2015,68.19
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 1 000 population,DEU,Germany,Europe,2015,0.02
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 1 000 population,CAN,Canada,North America,2015,0.12
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 100 000 population,JPN,Japan,Asia,2015,4.47
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,% of available beds,DEU,Germany,Europe,2015,81.2
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 100 000 population,DEU,Germany,Europe,2015,1.15
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 100 000 population,CAN,Canada,North America,2015,4.17
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 1 000 population,HUN,Hungary,Europe,2015,0.11
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 1 000 population,TUR,Türkiye,Asia,2015,0.02
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 100 000 population,PRT,Portugal,Europe,2015,11.49
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 100 000 population,PRT,Portugal,Europe,2015,0.7
ICUBCMAX,Critical care adult beds (maximum),Critical Care Adult ICU,Maximum,Per 1 000 population,FIN,Finland,Europe,2015,0.05
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 100 000 population,EST,Estonia,Europe,2015,37.41
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 1 000 population,CAN,Canada,North America,2015,0.01
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 100 000 population,JPN,Japan,Asia,2015,17.31
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 100 000 population,AUT,Austria,Europe,2015,21.73
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 100 000 population,ITA,Italy,Europe,2015,8.01
ICUORMAX,Total adult ICU occupancy rate (maximum),Adult ICU,Occupancy Rate,% of available beds,ISR,Israel,Asia,2015,82.12
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 100 000 population,LTU,Lithuania,Europe,2015,24.85
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 100 000 population,JPN,Japan,Asia,2015,0.04
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 100 000 population,CHE,Switzerland,Europe,2015,10.07
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 100 000 population,LTU,Lithuania,Europe,2015,3.37
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 1 000 population,AUT,Austria,Europe,2015,0.03
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 1 000 population,JPN,Japan,Asia,2015,0.09
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,% of available beds,FRA,France,Europe,2015,84.34
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 1 000 population,JPN,Japan,Asia,2015,0.04
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,AUT,Austria,Europe,2015,0.27
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 1 000 population,CHE,Switzerland,Europe,2015,0.01
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 100 000 population,DEU,Germany,Europe,2015,33.65
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 100 000 population,AUS,Australia,Oceania,2015,6.95
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 1 000 population,IRL,Ireland,Europe,2015,0.05
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 100 000 population,CAN,Canada,North America,2015,11.84
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 1 000 population,ISR,Israel,Asia,2015,0.1
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 100 000 population,PRT,Portugal,Europe,2015,8.37
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 1 000 population,AUS,Australia,Oceania,2015,0.07
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,PRT,Portugal,Europe,2015,0.11
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 1 000 population,TUR,Türkiye,Asia,2015,0.13
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,% of available beds,CHE,Switzerland,Europe,2015,79.74
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 1 000 population,TUR,Türkiye,Asia,2015,0.2
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 100 000 population,TUR,Türkiye,Asia,2015,1.54
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 1 000 population,PRT,Portugal,Europe,2015,0.01
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 1 000 population,FRA,France,Europe,2015,0.02
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 100 000 population,TUR,Türkiye,Asia,2015,40.25
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 100 000 population,LVA,Latvia,Europe,2015,9.81
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 100 000 population,ISR,Israel,Asia,2015,20.85
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,CAN,Canada,North America,2015,0.17
ICUBAMAX,Total adult ICU beds (maximum),Adult ICU,Maximum,Per 100 000 population,ISR,Israel,Asia,2015,10.07
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 1 000 population,ESP,Spain,Europe,2015,0.02
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 100 000 population,LTU,Lithuania,Europe,2015,21.48
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 1 000 population,AUT,Austria,Europe,2015,0.22
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 100 000 population,ISR,Israel,Asia,2015,1.67
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 1 000 population,ITA,Italy,Europe,2015,0.08
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 1 000 population,CHE,Switzerland,Europe,2015,0.1
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,LTU,Lithuania,Europe,2015,0.25
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 1 000 population,ISR,Israel,Asia,2015,0.09
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 100 000 population,FRA,France,Europe,2015,26.6
ICUBAMAX,Total adult ICU beds (maximum),Adult ICU,Maximum,Per 1 000 population,NLD,Netherlands,Europe,2015,0.13
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 100 000 population,IRL,Ireland,Europe,2015,5.06
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,FRA,France,Europe,2015,0.31
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 1 000 population,ESP,Spain,Europe,2015,0.1
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 100 000 population,AUT,Austria,Europe,2015,13.32
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 100 000 population,CHE,Switzerland,Europe,2015,7.65
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 100 000 population,AUS,Australia,Oceania,2015,7.24
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 100 000 population,AUT,Austria,Europe,2012,27.96
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,AUT,Austria,Europe,2012,0.28
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 100 000 population,AUT,Austria,Europe,2013,27.89
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,AUT,Austria,Europe,2013,0.28
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 100 000 population,AUT,Austria,Europe,2011,27.47
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,AUT,Austria,Europe,2011,0.27
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 100 000 population,FRA,France,Europe,2018,31.72
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,% of available beds,LTU,Lithuania,Europe,2018,62.11
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 100 000 population,USA,United States,North America,2018,4.81
ICUBCMAX,Critical care adult beds (maximum),Critical Care Adult ICU,Maximum,Per 100 000 population,ISR,Israel,Asia,2018,9.6
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 100 000 population,FRA,France,Europe,2018,1.68
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 100 000 population,USA,United States,North America,2018,7
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 1 000 population,FRA,France,Europe,2018,0.16
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,MEX,Mexico,North America,2018,0.06
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 1 000 population,USA,United States,North America,2018,0.22
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 100 000 population,ISR,Israel,Asia,2018,10.13
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 1 000 population,FRA,France,Europe,2018,0.03
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 100 000 population,CAN,Canada,North America,2018,16.83
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 100 000 population,AUS,Australia,Oceania,2018,0.5
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,ISR,Israel,Asia,2018,0.21
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 1 000 population,TUR,Türkiye,Asia,2018,0.3
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 1 000 population,ISR,Israel,Asia,2018,0.02
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 100 000 population,PRT,Portugal,Europe,2018,2.3
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,DEU,Germany,Europe,2018,0.33
ICUBAMAX,Total adult ICU beds (maximum),Adult ICU,Maximum,Per 1 000 population,ISR,Israel,Asia,2018,0.1
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 100 000 population,DEU,Germany,Europe,2018,29.58
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 100 000 population,NLD,Netherlands,Europe,2018,7.02
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 100 000 population,HUN,Hungary,Europe,2018,11.28
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 100 000 population,TUR,Türkiye,Asia,2018,24.41
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 100 000 population,AUT,Austria,Europe,2018,3.45
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,CZE,Czechia,Europe,2018,0.53
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 1 000 population,CRI,Costa Rica,North America,2018,0.03
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 1 000 population,CHE,Switzerland,Europe,2018,0.08
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 100 000 population,JPN,Japan,Asia,2018,9.19
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,% of available beds,TUR,Türkiye,Asia,2018,73.72
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 1 000 population,LTU,Lithuania,Europe,2018,0.03
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 100 000 population,CHE,Switzerland,Europe,2018,1.47
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 100 000 population,CZE,Czechia,Europe,2018,43.93
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 1 000 population,JPN,Japan,Asia,2018,0.13
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,% of available beds,IRL,Ireland,Europe,2018,88
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 1 000 population,CZE,Czechia,Europe,2018,0.05
ICUBCMAX,Critical care adult beds (maximum),Critical Care Adult ICU,Maximum,Per 100 000 population,FIN,Finland,Europe,2018,5.44
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,% of available beds,ISR,Israel,Asia,2018,73.71
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 1 000 population,DEU,Germany,Europe,2018,0.01
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 1 000 population,NLD,Netherlands,Europe,2018,0.07
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,% of available beds,AUS,Australia,Oceania,2018,68.6
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 100 000 population,TUR,Türkiye,Asia,2018,29.57
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,TUR,Türkiye,Asia,2018,0.47
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,% of available beds,NLD,Netherlands,Europe,2018,71
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 100 000 population,ESP,Spain,Europe,2018,10.39
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 100 000 population,ESP,Spain,Europe,2018,1.81
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 100 000 population,AUT,Austria,Europe,2018,2.53
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 100 000 population,AUT,Austria,Europe,2018,27.72
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,% of available beds,LVA,Latvia,Europe,2018,69.46
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 100 000 population,CZE,Czechia,Europe,2018,4.24
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 1 000 population,AUT,Austria,Europe,2018,0.03
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 1 000 population,AUT,Austria,Europe,2018,0.13
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 1 000 population,LTU,Lithuania,Europe,2018,0.2
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 1 000 population,LVA,Latvia,Europe,2018,0.1
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 100 000 population,ISR,Israel,Asia,2018,9.54
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 100 000 population,ISR,Israel,Asia,2018,9.05
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 100 000 population,FRA,France,Europe,2018,16.22
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,% of available beds,AUT,Austria,Europe,2018,74.37
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,EST,Estonia,Europe,2018,0.38
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 100 000 population,FRA,France,Europe,2018,2.88
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 1 000 population,ISR,Israel,Asia,2018,0.1
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 1 000 population,FRA,France,Europe,2018,0.27
ICUBCMAX,Critical care adult beds (maximum),Critical Care Adult ICU,Maximum,Per 1 000 population,ISR,Israel,Asia,2018,0.1
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 1 000 population,AUS,Australia,Oceania,2018,0.07
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 1 000 population,CRI,Costa Rica,North America,2018,0.02
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 1 000 population,CAN,Canada,North America,2018,0.04
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 1 000 population,DEU,Germany,Europe,2018,0.3
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,JPN,Japan,Asia,2018,0.18
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 100 000 population,CAN,Canada,North America,2018,0.6
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 1 000 population,PRT,Portugal,Europe,2018,0.09
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 100 000 population,USA,United States,North America,2018,21.59
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 100 000 population,DEU,Germany,Europe,2018,2.38
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 100 000 population,CRI,Costa Rica,North America,2018,2.98
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 100 000 population,MEX,Mexico,North America,2018,6.45
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,USA,United States,North America,2018,0.3
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 100 000 population,TUR,Türkiye,Asia,2018,15.23
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 100 000 population,JPN,Japan,Asia,2018,13.47
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,% of available beds,CZE,Czechia,Europe,2018,62.3
