VAR,Variable,ICU_Type,Statistics_Type,UNIT,Measure,COU,Country,Continent,Year,OBS_VALUE,OBS_STATUS
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,RTOALLNB,Per 100 000 population,CAN,Canada,North America,2015,16.64,A
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,RTOINPNB,Per 1 000 population,FRA,France,Europe,2015,0.16,A
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,RTOINPNB,Per 1 000 population,MEX,Mexico,North America,2015,0.07,A
ICUBCMAX,Critical care adult beds (maximum),Critical Care Adult ICU,Maximum,RTOALLNB,Per 100 000 population,ISR,Israel,Asia,2015,9.53,A
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,RTOALLNB,Per 100 000 population,ISR,Israel,Asia,2015,10.05,A
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,RTOINPNB,Per 1 000 population,FRA,France,Europe,2015,0.03,A
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,RTOALLNB,Per 100 000 population,AUS,Australia,Oceania,2015,0.43,A
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,RTOINPNB,Per 1 000 population,ISR,Israel,Asia,2015,0.21,A
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,RTOINPNB,Per 1 000 population,TUR,Türkiye,Asia,2015,0.25,A
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,RTOALLNB,Per 100 000 population,PRT,Portugal,Europe,2015,2.42,A
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,RTOINPNB,Per 1 000 population,DEU,Germany,Europe,2015,0.34,A
ICUBAMAX,Total adult ICU beds (maximum),Adult ICU,Maximum,RTOINPNB,Per 1 000 population,ISR,Israel,Asia,2015,0.1,A
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,RTOALLNB,Per 100 000 population,DEU,Germany,Europe,2015,30.08,A
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,RTOALLNB,Per 100 000 population,NLD,Netherlands,Europe,2015,7.13,A
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,RTOALLNB,Per 100 000 population,HUN,Hungary,Europe,2015,11.44,A
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,RTOALLNB,Per 100 000 population,TUR,Türkiye,Asia,2015,20.17,A
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,RTOINPNB,Per 1 000 population,ISR,Israel,Asia,2015,0.02,A
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,RTOALLNB,Per 100 000 population,AUT,Austria,Europe,2015,3.04,A
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,RTOINPNB,Per 1 000 population,CHE,Switzerland,Europe,2015,0.08,A
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,RTOALLNB,Per 100 000 population,JPN,Japan,Asia,2015,9.37,A
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,TXOCCUTX,% of available beds,TUR,Türkiye,Asia,2015,71.06,A
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,RTOINPNB,Per 1 000 population,LTU,Lithuania,Europe,2015,0.03,A
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,RTOALLNB,Per 100 000 population,CHE,Switzerland,Europe,2015,1.44,A
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,RTOINPNB,Per 1 000 population,JPN,Japan,Asia,2015,0.13,A
ICUBCMAX,Critical care adult beds (maximum),Critical Care Adult ICU,Maximum,RTOALLNB,Per 100 000 population,FIN,Finland,Europe,2015,5.47,A
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,TXOCCUTX,% of available beds,ISR,Israel,Asia,2015,76.72,A
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,RTOINPNB,Per 1 000 population,DEU,Germany,Europe,2015,0.01,A
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,RTOINPNB,Per 1 000 population,NLD,Netherlands,Europe,2015,0.07,A
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,TXOCCUTX,% of available beds,AUS,Australia,Oceania,2015,70.2,A
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,RTOALLNB,Per 100 000 population,TUR,Türkiye,Asia,2015,25.42,A
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,RTOINPNB,Per 1 000 population,TUR,Türkiye,Asia,2015,0.4,A
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,RTOALLNB,Per 100 000 population,ESP,Spain,Europe,2015,10.38,A
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,RTOALLNB,Per 100 000 population,ESP,Spain,Europe,2015,1.58,A
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,RTOALLNB,Per 100 000 population,AUT,Austria,Europe,2015,2.64,A
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,TXOCCUTX,% of available beds,NLD,Netherlands,Europe,2015,73,A
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,RTOALLNB,Per 100 000 population,AUT,Austria,Europe,2015,27.41,A
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,TXOCCUTX,% of available beds,AUT,Austria,Europe,2015,75.96,A
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,TXOCCUTX,% of available beds,LVA,Latvia,Europe,2015,70.7,A
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,RTOINPNB,Per 1 000 population,AUT,Austria,Europe,2015,0.03,A
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,RTOINPNB,Per 1 000 population,LTU,Lithuania,Europe,2015,0.21,A
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,RTOINPNB,Per 1 000 population,LVA,Latvia,Europe,2015,0.1,A
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,RTOALLNB,Per 100 000 population,ISR,Israel,Asia,2015,9.52,A
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,RTOALLNB,Per 100 000 population,ISR,Israel,Asia,2015,9.13,A
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,RTOALLNB,Per 100 000 population,FRA,France,Europe,2015,15.95,A
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,RTOINPNB,Per 1 000 population,EST,Estonia,Europe,2015,0.37,A
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,RTOALLNB,Per 100 000 population,FRA,France,Europe,2015,2.9,A
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,RTOINPNB,Per 1 000 population,ISR,Israel,Asia,2015,0.1,A
ICUBAMAX,Total adult ICU beds (maximum),Adult ICU,Maximum,RTOALLNB,Per 100 000 population,NLD,Netherlands,Europe,2015,13.03,A
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,RTOINPNB,Per 1 000 population,FRA,France,Europe,2015,0.27,A
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,RTOINPNB,Per 1 000 population,AUT,Austria,Europe,2015,0.13,A
ICUBCMAX,Critical care adult beds (maximum),Critical Care Adult ICU,Maximum,RTOINPNB,Per 1 000 population,ISR,Israel,Asia,2015,0.1,A
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,RTOINPNB,Per 1 000 population,AUS,Australia,Oceania,2015,0.07,A
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,RTOINPNB,Per 1 000 population,CAN,Canada,North America,2015,0.04,A
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,RTOINPNB,Per 1 000 population,DEU,Germany,Europe,2015,0.3,A
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,RTOINPNB,Per 1 000 population,JPN,Japan,Asia,2015,0.17,A
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,RTOALLNB,Per 100 000 population,CAN,Canada,North America,2015,0.63,A
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,RTOINPNB,Per 1 000 population,PRT,Portugal,Europe,2015,0.08,A
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,RTOALLNB,Per 100 000 population,DEU,Germany,Europe,2015,2.41,A
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,RTOALLNB,Per 100 000 population,MEX,Mexico,North America,2015,6.83,A
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,RTOALLNB,Per 100 000 population,TUR,Türkiye,Asia,2015,13.29,A
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,RTOALLNB,Per 100 000 population,JPN,Japan,Asia,2015,12.81,A
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,RTOINPNB,Per 1 000 population,PRT,Portugal,Europe,2015,0.02,A
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,TXOCCUTX,% of available beds,PRT,Portugal,Europe,2015,68.19,A
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,RTOINPNB,Per 1 000 population,DEU,Germany,Europe,2015,0.02,A
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,RTOINPNB,Per 1 000 population,CAN,Canada,North America,2015,0.12,A
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,RTOALLNB,Per 100 000 population,JPN,Japan,Asia,2015,4.47,A
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,TXOCCUTX,% of available beds,DEU,Germany,Europe,2015,81.2,A
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,RTOALLNB,Per 100 000 population,DEU,Germany,Europe,2015,1.15,A
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,RTOALLNB,Per 100 000 population,CAN,Canada,North America,2015,4.17,A
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,RTOINPNB,Per 1 000 population,HUN,Hungary,Europe,2015,0.11,A
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,RTOINPNB,Per 1 000 population,TUR,Türkiye,Asia,2015,0.02,A
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,RTOALLNB,Per 100 000 population,PRT,Portugal,Europe,2015,11.49,A
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,RTOALLNB,Per 100 000 population,PRT,Portugal,Europe,2015,0.7,A
ICUBCMAX,Critical care adult beds (maximum),Critical Care Adult ICU,Maximum,RTOINPNB,Per 1 000 population,FIN,Finland,Europe,2015,0.05,A
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,RTOALLNB,Per 100 000 population,EST,Estonia,Europe,2015,37.41,A
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,RTOINPNB,Per 1 000 population,CAN,Canada,North America,2015,0.01,A
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,RTOALLNB,Per 100 000 population,JPN,Japan,Asia,2015,17.31,A
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,RTOALLNB,Per 100 000 population,AUT,Austria,Europe,2015,21.73,A
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,RTOALLNB,Per 100 000 population,ITA,Italy,Europe,2015,8.01,A
ICUORMAX,Total adult ICU occupancy rate (maximum),Adult ICU,Occupancy Rate,TXOCCUTX,% of available beds,ISR,Israel,Asia,2015,82.12,A
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,RTOALLNB,Per 100 000 population,LTU,Lithuania,Europe,2015,24.85,A
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,RTOALLNB,Per 100 000 population,JPN,Japan,Asia,2015,0.04,A
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,RTOALLNB,Per 100 000 population,CHE,Switzerland,Europe,2015,10.07,A
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,RTOALLNB,Per 100 000 population,LTU,Lithuania,Europe,2015,3.37,A
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,RTOINPNB,Per 1 000 population,AUT,Austria,Europe,2015,0.03,A
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,RTOINPNB,Per 1 000 population,JPN,Japan,Asia,2015,0.09,A
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,TXOCCUTX,% of available beds,FRA,France,Europe,2015,84.34,A
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,RTOINPNB,Per 1 000 population,JPN,Japan,Asia,2015,0.04,A
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,RTOINPNB,Per 1 000 population,AUT,Austria,Europe,2015,0.27,A
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,RTOINPNB,Per 1 000 population,CHE,Switzerland,Europe,2015,0.01,A
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,RTOALLNB,Per 100 000 population,DEU,Germany,Europe,2015,33.65,A
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,RTOALLNB,Per 100 000 population,AUS,Australia,Oceania,2015,6.95,A
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,RTOINPNB,Per 1 000 population,IRL,Ireland,Europe,2015,0.05,A
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,RTOALLNB,Per 100 000 population,CAN,Canada,North America,2015,11.84,A
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,RTOINPNB,Per 1 000 population,ISR,Israel,Asia,2015,0.1,A
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,RTOALLNB,Per 100 000 population,PRT,Portugal,Europe,2015,8.37,A
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,RTOINPNB,Per 1 000 population,AUS,Australia,Oceania,2015,0.07,A
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,RTOINPNB,Per 1 000 population,PRT,Portugal,Europe,2015,0.11,A
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,RTOINPNB,Per 1 000 population,TUR,Türkiye,Asia,2015,0.13,A
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,TXOCCUTX,% of available beds,CHE,Switzerland,Europe,2015,79.74,A
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,RTOINPNB,Per 1 000 population,TUR,Türkiye,Asia,2015,0.2,A
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,RTOALLNB,Per 100 000 population,TUR,Türkiye,Asia,2015,1.54,A
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,RTOINPNB,Per 1 000 population,PRT,Portugal,Europe,2015,0.01,A
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,RTOINPNB,Per 1 000 population,FRA,France,Europe,2015,0.02,A
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,RTOALLNB,Per 100 000 population,TUR,Türkiye,Asia,2015,40.25,A
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,RTOALLNB,Per 100 000 population,LVA,Latvia,Europe,2015,9.81,A
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,RTOALLNB,Per 100 000 population,ISR,Israel,Asia,2015,20.85,A
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,RTOINPNB,Per 1 000 population,CAN,Canada,North America,2015,0.17,A
ICUBAMAX,Total adult ICU beds (maximum),Adult ICU,Maximum,RTOALLNB,Per 100 000 population,ISR,Israel,Asia,2015,10.07,A
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,RTOINPNB,Per 1 000 population,ESP,Spain,Europe,2015,0.02,A
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,RTOALLNB,Per 100 000 population,LTU,Lithuania,Europe,2015,21.48,A
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,RTOINPNB,Per 1 000 population,AUT,Austria,Europe,2015,0.22,A
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,RTOALLNB,Per 100 000 population,ISR,Israel,Asia,2015,1.67,A
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,RTOINPNB,Per 1 000 population,ITA,Italy,Europe,2015,0.08,A
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,RTOINPNB,Per 1 000 population,CHE,Switzerland,Europe,2015,0.1,A
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,RTOINPNB,Per 1 000 population,LTU,Lithuania,Europe,2015,0.25,A
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,RTOINPNB,Per 1 000 population,ISR,Israel,Asia,2015,0.09,A
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,RTOALLNB,Per 100 000 population,FRA,France,Europe,2015,26.6,A
ICUBAMAX,Total adult ICU beds (maximum),Adult ICU,Maximum,RTOINPNB,Per 1 000 population,NLD,Netherlands,Europe,2015,0.13,A
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,RTOALLNB,Per 100 000 population,IRL,Ireland,Europe,2015,5.06,A
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,RTOINPNB,Per 1 000 population,FRA,France,Europe,2015,0.31,A
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,RTOINPNB,Per 1 000 population,ESP,Spain,Europe,2015,0.1,A
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,RTOALLNB,Per 100 000 population,AUT,Austria,Europe,2015,13.32,A
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,RTOALLNB,Per 100 000 population,CHE,Switzerland,Europe,2015,7.65,A
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,RTOALLNB,Per 100 000 population,AUS,Australia,Oceania,2015,7.24,A
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,RTOALLNB,Per 100 000 population,AUT,Austria,Europe,2012,27.96,A
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,RTOINPNB,Per 1 000 population,AUT,Austria,Europe,2012,0.28,A
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,RTOALLNB,Per 100 000 population,AUT,Austria,Europe,2013,27.89,A
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,RTOINPNB,Per 1 000 population,AUT,Austria,Europe,2013,0.28,A
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,RTOALLNB,Per 100 000 population,AUT,Austria,Europe,2011,27.47,A
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,RTOINPNB,Per 1 000 population,AUT,Austria,Europe,2011,0.27,A
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,RTOALLNB,Per 100 000 population,FRA,France,Europe,2018,31.72,A
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,TXOCCUTX,% of available beds,LTU,Lithuania,Europe,2018,62.11,A
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,RTOALLNB,Per 100 000 population,USA,United States,North America,2018,4.81,A
ICUBCMAX,Critical care adult beds (maximum),Critical Care Adult ICU,Maximum,RTOALLNB,Per 100 000 population,ISR,Israel,Asia,2018,9.6,A
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,RTOALLNB,Per 100 000 population,FRA,France,Europe,2018,1.68,A
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,RTOALLNB,Per 100 000 population,USA,United States,North America,2018,7,A
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,RTOINPNB,Per 1 000 population,FRA,France,Europe,2018,0.16,A
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,RTOINPNB,Per 1 000 population,MEX,Mexico,North America,2018,0.06,A
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,RTOINPNB,Per 1 000 population,USA,United States,North America,2018,0.22,A
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,RTOALLNB,Per 100 000 population,ISR,Israel,Asia,2018,10.13,A
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,RTOINPNB,Per 1 000 population,FRA,France,Europe,2018,0.03,A
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,RTOALLNB,Per 100 000 population,CAN,Canada,North America,2018,16.83,A
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,RTOALLNB,Per 100 000 population,AUS,Australia,Oceania,2018,0.5,A
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,RTOINPNB,Per 1 000 population,ISR,Israel,Asia,2018,0.21,A
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,RTOINPNB,Per 1 000 population,TUR,Türkiye,Asia,2018,0.3,A
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,RTOINPNB,Per 1 000 population,ISR,Israel,Asia,2018,0.02,A
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,RTOALLNB,Per 100 000 population,PRT,Portugal,Europe,2018,2.3,A
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,RTOINPNB,Per 1 000 population,DEU,Germany,Europe,2018,0.33,A
ICUBAMAX,Total adult ICU beds (maximum),Adult ICU,Maximum,RTOINPNB,Per 1 000 population,ISR,Israel,Asia,2018,0.1,A
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,RTOALLNB,Per 100 000 population,DEU,Germany,Europe,2018,29.58,A
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,RTOALLNB,Per 100 000 population,NLD,Netherlands,Europe,2018,7.02,A
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,RTOALLNB,Per 100 000 population,HUN,Hungary,Europe,2018,11.28,A
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,RTOALLNB,Per 100 000 population,TUR,Türkiye,Asia,2018,24.41,A
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,RTOALLNB,Per 100 000 population,AUT,Austria,Europe,2018,3.45,A
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,RTOINPNB,Per 1 000 population,CZE,Czechia,Europe,2018,0.53,A
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,RTOINPNB,Per 1 000 population,CRI,Costa Rica,North America,2018,0.03,A
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,RTOINPNB,Per 1 000 population,CHE,Switzerland,Europe,2018,0.08,A
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,RTOALLNB,Per 100 000 population,JPN,Japan,Asia,2018,9.19,A
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,TXOCCUTX,% of available beds,TUR,Türkiye,Asia,2018,73.72,A
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,RTOINPNB,Per 1 000 population,LTU,Lithuania,Europe,2018,0.03,A
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,RTOALLNB,Per 100 000 population,CHE,Switzerland,Europe,2018,1.47,A
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,RTOALLNB,Per 100 000 population,CZE,Czechia,Europe,2018,43.93,A
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,RTOINPNB,Per 1 000 population,JPN,Japan,Asia,2018,0.13,A
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,TXOCCUTX,% of available beds,IRL,Ireland,Europe,2018,88,A
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,RTOINPNB,Per 1 000 population,CZE,Czechia,Europe,2018,0.05,A
ICUBCMAX,Critical care adult beds (maximum),Critical Care Adult ICU,Maximum,RTOALLNB,Per 100 000 population,FIN,Finland,Europe,2018,5.44,A
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,TXOCCUTX,% of available beds,ISR,Israel,Asia,2018,73.71,A
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,RTOINPNB,Per 1 000 population,DEU,Germany,Europe,2018,0.01,A
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,RTOINPNB,Per 1 000 population,NLD,Netherlands,Europe,2018,0.07,A
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,TXOCCUTX,% of available beds,AUS,Australia,Oceania,2018,68.6,A
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,RTOALLNB,Per 100 000 population,TUR,Türkiye,Asia,2018,29.57,A
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,RTOINPNB,Per 1 000 population,TUR,Türkiye,Asia,2018,0.47,A
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,TXOCCUTX,% of available beds,NLD,Netherlands,Europe,2018,71,A
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,RTOALLNB,Per 100 000 population,ESP,Spain,Europe,2018,10.39,A
