Technology_Types,Measure,Country,Year,OBS_VALUE,Log_OBS_VALUE,Availability_Category
Gamma cameras,Number,Ireland,2014,29,1.46,Low
Mammographs,Number,Ireland,2014,61,1.79,Low
Radiation therapy equipment,Number,Ireland,2014,42,1.62,Low
Computed Tomography scanners,Number,Italy,2014,2000,3.3,High
Magnetic Resonance Imaging units,Number,Italy,2014,1592,3.2,High
Positron Emission Tomography (PET) scanners,Number,Italy,2014,176,2.25,Medium
Gamma cameras,Number,Italy,2014,555,2.74,Medium
Mammographs,Number,Italy,2014,2061,3.31,High
Radiation therapy equipment,Number,Italy,2014,419,2.62,Medium
Computed Tomography scanners,Number,Japan,2014,13636,4.13,Very High
Magnetic Resonance Imaging units,Number,Japan,2014,6577,3.82,High
Positron Emission Tomography (PET) scanners,Number,Japan,2014,547,2.74,Medium
Gamma cameras,Number,Japan,2014,1490,3.17,High
Mammographs,Number,Japan,2014,4204,3.62,High
Computed Tomography scanners,Number,Korea,2014,1870,3.27,High
Magnetic Resonance Imaging units,Number,Korea,2014,1294,3.11,High
Positron Emission Tomography (PET) scanners,Number,Korea,2014,207,2.32,Medium
Gamma cameras,Number,Korea,2014,291,2.46,Medium
Mammographs,Number,Korea,2014,2742,3.44,High
Radiation therapy equipment,Number,Korea,2014,284,2.45,Medium
Computed Tomography scanners,Number,Luxembourg,2014,12,1.08,Low
Magnetic Resonance Imaging units,Number,Luxembourg,2014,7,0.85,Very Low
Positron Emission Tomography (PET) scanners,Number,Luxembourg,2014,1,0,Very Low
Gamma cameras,Number,Luxembourg,2014,8,0.9,Very Low
Mammographs,Number,Luxembourg,2014,7,0.85,Very Low
Radiation therapy equipment,Number,Luxembourg,2014,5,0.7,Very Low
Computed Tomography scanners,Number,Mexico,2014,684,2.84,Medium
Magnetic Resonance Imaging units,Number,Mexico,2014,273,2.44,Medium
Positron Emission Tomography (PET) scanners,Number,Mexico,2014,8,0.9,Very Low
Gamma cameras,Number,Mexico,2014,55,1.74,Low
Mammographs,Number,Mexico,2014,1146,3.06,High
Radiation therapy equipment,Number,Mexico,2014,207,2.32,Medium
Computed Tomography scanners,Number,Netherlands,2014,225,2.35,Medium
Magnetic Resonance Imaging units,Number,Netherlands,2014,217,2.34,Medium
Positron Emission Tomography (PET) scanners,Number,Netherlands,2014,59,1.77,Low
Gamma cameras,Number,Netherlands,2014,160,2.2,Medium
Computed Tomography scanners,Number,New Zealand,2014,77,1.89,Low
Positron Emission Tomography (PET) scanners,Number,New Zealand,2014,6,0.78,Very Low
Gamma cameras,Number,New Zealand,2014,15,1.18,Low
Mammographs,Number,New Zealand,2014,109,2.04,Medium
Radiation therapy equipment,Number,New Zealand,2014,54,1.73,Low
Computed Tomography scanners,Number,Slovak Republic,2014,94,1.97,Low
Magnetic Resonance Imaging units,Number,Slovak Republic,2014,45,1.65,Low
Positron Emission Tomography (PET) scanners,Number,Slovak Republic,2014,7,0.85,Very Low
Mammographs,Number,Slovak Republic,2014,97,1.99,Low
Gamma cameras,Number,Slovak Republic,2014,27,1.43,Low
Radiation therapy equipment,Number,Slovak Republic,2014,64,1.81,Low
Computed Tomography scanners,Number,Spain,2014,818,2.91,Medium
Gamma cameras,Number,Spain,2014,301,2.48,Medium
Magnetic Resonance Imaging units,Number,Spain,2014,721,2.86,Medium
Positron Emission Tomography (PET) scanners,Number,Spain,2014,74,1.87,Low
Radiation therapy equipment,Number,Spain,2014,228,2.36,Medium
Mammographs,Number,Spain,2014,744,2.87,Medium
Positron Emission Tomography (PET) scanners,Number,Switzerland,2014,29,1.46,Low
Computed Tomography scanners,Number,Switzerland,2014,296,2.47,Medium
Mammographs,Number,Switzerland,2014,232,2.37,Medium
Radiation therapy equipment,Number,Switzerland,2014,135,2.13,Medium
Computed Tomography scanners,Number,Turkish,2014,1071,3.03,High
Magnetic Resonance Imaging units,Number,Turkish,2014,757,2.88,Medium
Positron Emission Tomography (PET) scanners,Number,Turkish,2014,101,2,Medium
Gamma cameras,Number,Turkish,2014,260,2.41,Medium
Mammographs,Number,Turkish,2014,903,2.96,Medium
Radiation therapy equipment,Number,Turkish,2014,196,2.29,Medium
Computed Tomography scanners,Number,United States,2014,13065,4.12,Very High
Magnetic Resonance Imaging units,Number,United States,2014,12135,4.08,Very High
Positron Emission Tomography (PET) scanners,Number,United States,2014,1635,3.21,High
Mammographs,Number,United States,2014,13795,4.14,Very High
Computed Tomography scanners,Number,Brazil,2014,3809,3.58,High
Magnetic Resonance Imaging units,Number,Brazil,2014,1845,3.27,High
Computed Tomography scanners,Number,Chile,2014,263,2.42,Medium
Magnetic Resonance Imaging units,Number,Chile,2014,168,2.23,Medium
Positron Emission Tomography (PET) scanners,Number,Chile,2014,10,1,Very Low
Gamma cameras,Number,Chile,2014,29,1.46,Low
Mammographs,Number,Chile,2014,263,2.42,Medium
Radiation therapy equipment,Number,Chile,2014,41,1.61,Low
Computed Tomography scanners,Number,Estonia,2014,26,1.41,Low
Gamma cameras,Number,Estonia,2014,3,0.48,Very Low
Magnetic Resonance Imaging units,Number,Estonia,2014,15,1.18,Low
Positron Emission Tomography (PET) scanners,Number,Estonia,2014,3,0.48,Very Low
Mammographs,Number,Estonia,2014,13,1.11,Low
Radiation therapy equipment,Number,Estonia,2014,5,0.7,Very Low
Computed Tomography scanners,Number,Israel,2014,77,1.89,Low
Magnetic Resonance Imaging units,Number,Israel,2014,32,1.51,Low
Positron Emission Tomography (PET) scanners,Number,Israel,2014,9,0.95,Very Low
Gamma cameras,Number,Israel,2014,81,1.91,Low
Mammographs,Number,Israel,2014,57,1.76,Low
Radiation therapy equipment,Number,Israel,2014,32,1.51,Low
Computed Tomography scanners,Number,Slovenia,2014,27,1.43,Low
Magnetic Resonance Imaging units,Number,Slovenia,2014,19,1.28,Low
Positron Emission Tomography (PET) scanners,Number,Slovenia,2014,2,0.3,Very Low
Gamma cameras,Number,Slovenia,2014,17,1.23,Low
Mammographs,Number,Slovenia,2014,33,1.52,Low
Radiation therapy equipment,Number,Slovenia,2014,12,1.08,Low
Computed Tomography scanners,Per million population,Australia,2014,56.06,1.75,Low
Magnetic Resonance Imaging units,Per million population,Australia,2014,14.65,1.17,Low
Positron Emission Tomography (PET) scanners,Per million population,Australia,2014,2.39,0.38,Very Low
Gamma cameras,Per million population,Australia,2014,19.59,1.29,Low
Mammographs,Per million population,Australia,2014,23,1.36,Low
Radiation therapy equipment,Per million population,Australia,2014,10.56,1.02,Low
Computed Tomography scanners,Per million population,Austria,2014,29.37,1.47,Low
Magnetic Resonance Imaging units,Per million population,Austria,2014,19.66,1.29,Low
Positron Emission Tomography (PET) scanners,Per million population,Austria,2014,2.22,0.35,Very Low
Gamma cameras,Per million population,Austria,2014,11.58,1.06,Low
Mammographs,Per million population,Austria,2014,23.52,1.37,Low
Radiation therapy equipment,Per million population,Austria,2014,4.91,0.69,Very Low
Computed Tomography scanners,Per million population,Belgium,2014,21.77,1.34,Low
Magnetic Resonance Imaging units,Per million population,Belgium,2014,11.78,1.07,Low
Positron Emission Tomography (PET) scanners,Per million population,Belgium,2014,2.68,0.43,Very Low
Mammographs,Per million population,Belgium,2014,36.76,1.57,Low
Gamma cameras,Per million population,Belgium,2014,25.87,1.41,Low
Radiation therapy equipment,Per million population,Belgium,2014,18.2,1.26,Low
Mammographs,Per million population,Canada,2014,17.55,1.24,Low
Computed Tomography scanners,Per million population,Czechia,2014,15.11,1.18,Low
Magnetic Resonance Imaging units,Per million population,Czechia,2014,7.41,0.87,Very Low
Positron Emission Tomography (PET) scanners,Per million population,Czechia,2014,0.76,-0.12,Very Low
Gamma cameras,Per million population,Czechia,2014,11.12,1.05,Low
Radiation therapy equipment,Per million population,Czechia,2014,7.51,0.88,Very Low
Computed Tomography scanners,Per million population,Denmark,2014,37.74,1.58,Low
Positron Emission Tomography (PET) scanners,Per million population,Denmark,2014,6.02,0.78,Very Low
Gamma cameras,Per million population,Denmark,2014,16.48,1.22,Low
Mammographs,Per million population,Denmark,2014,16.48,1.22,Low
Radiation therapy equipment,Per million population,Denmark,2014,13.29,1.12,Low
Computed Tomography scanners,Per million population,Finland,2014,21.42,1.33,Low
Magnetic Resonance Imaging units,Per million population,Finland,2014,23.25,1.37,Low
Positron Emission Tomography (PET) scanners,Per million population,Finland,2014,2.38,0.38,Very Low
Mammographs,Per million population,Finland,2014,30.76,1.49,Low
Radiation therapy equipment,Per million population,Finland,2014,9.89,1,Very Low
Computed Tomography scanners,Per million population,France,2014,15.32,1.19,Low
Magnetic Resonance Imaging units,Per million population,France,2014,10.86,1.04,Low
Positron Emission Tomography (PET) scanners,Per million population,France,2014,1.63,0.21,Very Low
Gamma cameras,Per million population,France,2014,5.75,0.76,Very Low
Computed Tomography scanners,Per million population,Germany,2014,35.34,1.55,Low
Magnetic Resonance Imaging units,Per million population,Germany,2014,30.5,1.48,Low
Computed Tomography scanners,Per million population,Greece,2014,34.61,1.54,Low
Magnetic Resonance Imaging units,Per million population,Greece,2014,22.86,1.36,Low
Positron Emission Tomography (PET) scanners,Per million population,Greece,2014,0.46,-0.34,Very Low
Gamma cameras,Per million population,Greece,2014,14.51,1.16,Low
Mammographs,Per million population,Greece,2014,57.75,1.76,Low
Radiation therapy equipment,Per million population,Greece,2014,6.24,0.8,Very Low
Computed Tomography scanners,Per million population,Iceland,2014,39.71,1.6,Low
Magnetic Resonance Imaging units,Per million population,Iceland,2014,21.38,1.33,Low
Gamma cameras,Per million population,Iceland,2014,6.11,0.79,Very Low
Mammographs,Per million population,Iceland,2014,15.27,1.18,Low
Radiation therapy equipment,Per million population,Iceland,2014,9.16,0.96,Very Low
Computed Tomography scanners,Per million population,Ireland,2014,16.53,1.22,Low
Magnetic Resonance Imaging units,Per million population,Ireland,2014,13.31,1.12,Low
Positron Emission Tomography (PET) scanners,Per million population,Ireland,2014,1.72,0.24,Very Low
Gamma cameras,Per million population,Ireland,2014,6.23,0.79,Very Low
Mammographs,Per million population,Ireland,2014,13.1,1.12,Low
Radiation therapy equipment,Per million population,Ireland,2014,9.02,0.96,Very Low
Computed Tomography scanners,Per million population,Italy,2014,32.9,1.52,Low
Magnetic Resonance Imaging units,Per million population,Italy,2014,26.19,1.42,Low
Positron Emission Tomography (PET) scanners,Per million population,Italy,2014,2.9,0.46,Very Low
Gamma cameras,Per million population,Italy,2014,9.13,0.96,Very Low
Mammographs,Per million population,Italy,2014,33.9,1.53,Low
Radiation therapy equipment,Per million population,Italy,2014,6.89,0.84,Very Low
Computed Tomography scanners,Per million population,Japan,2014,107.17,2.03,Medium
Magnetic Resonance Imaging units,Per million population,Japan,2014,51.69,1.71,Low
Positron Emission Tomography (PET) scanners,Per million population,Japan,2014,4.3,0.63,Very Low
Gamma cameras,Per million population,Japan,2014,11.71,1.07,Low
Mammographs,Per million population,Japan,2014,33.04,1.52,Low
Computed Tomography scanners,Per million population,Korea,2014,36.85,1.57,Low
Positron Emission Tomography (PET) scanners,Per million population,Korea,2014,4.08,0.61,Very Low
Gamma cameras,Per million population,Korea,2014,5.73,0.76,Very Low
Magnetic Resonance Imaging units,Per million population,Korea,2014,25.5,1.41,Low
Mammographs,Per million population,Korea,2014,54.03,1.73,Low
Radiation therapy equipment,Per million population,Korea,2014,5.6,0.75,Very Low
Computed Tomography scanners,Per million population,Luxembourg,2014,21.57,1.33,Low
Magnetic Resonance Imaging units,Per million population,Luxembourg,2014,12.58,1.1,Low
Positron Emission Tomography (PET) scanners,Per million population,Luxembourg,2014,1.8,0.26,Very Low
Gamma cameras,Per million population,Luxembourg,2014,14.38,1.16,Low
Mammographs,Per million population,Luxembourg,2014,12.58,1.1,Low
Radiation therapy equipment,Per million population,Luxembourg,2014,8.99,0.95,Very Low
Computed Tomography scanners,Per million population,Mexico,2014,5.7,0.76,Very Low
Magnetic Resonance Imaging units,Per million population,Mexico,2014,2.28,0.36,Very Low
Positron Emission Tomography (PET) scanners,Per million population,Mexico,2014,0.07,-1.15,Very Low
Gamma cameras,Per million population,Mexico,2014,0.46,-0.34,Very Low
Mammographs,Per million population,Mexico,2014,9.56,0.98,Very Low
Radiation therapy equipment,Per million population,Mexico,2014,1.73,0.24,Very Low
Computed Tomography scanners,Per million population,Netherlands,2014,13.34,1.13,Low
Magnetic Resonance Imaging units,Per million population,Netherlands,2014,12.87,1.11,Low
Positron Emission Tomography (PET) scanners,Per million population,Netherlands,2014,3.5,0.54,Very Low
Gamma cameras,Per million population,Netherlands,2014,9.49,0.98,Very Low
Computed Tomography scanners,Per million population,New Zealand,2014,17.05,1.23,Low
Positron Emission Tomography (PET) scanners,Per million population,New Zealand,2014,1.33,0.12,Very Low
Gamma cameras,Per million population,New Zealand,2014,3.32,0.52,Very Low
Mammographs,Per million population,New Zealand,2014,24.13,1.38,Low
Radiation therapy equipment,Per million population,New Zealand,2014,11.96,1.08,Low
Computed Tomography scanners,Per million population,Slovak Republic,2014,17.35,1.24,Low
Magnetic Resonance Imaging units,Per million population,Slovak Republic,2014,8.3,0.92,Very Low
Positron Emission Tomography (PET) scanners,Per million population,Slovak Republic,2014,1.29,0.11,Very Low
Gamma cameras,Per million population,Slovak Republic,2014,4.98,0.7,Very Low
Mammographs,Per million population,Slovak Republic,2014,17.9,1.25,Low
Radiation therapy equipment,Per million population,Slovak Republic,2014,11.81,1.07,Low
Computed Tomography scanners,Per million population,Spain,2014,17.6,1.25,Low
Magnetic Resonance Imaging units,Per million population,Spain,2014,15.51,1.19,Low
Positron Emission Tomography (PET) scanners,Per million population,Spain,2014,1.59,0.2,Very Low
Gamma cameras,Per million population,Spain,2014,6.48,0.81,Very Low
Mammographs,Per million population,Spain,2014,16.01,1.2,Low
Radiation therapy equipment,Per million population,Spain,2014,4.91,0.69,Very Low
Computed Tomography scanners,Per million population,Switzerland,2014,36.15,1.56,Low
Positron Emission Tomography (PET) scanners,Per million population,Switzerland,2014,3.54,0.55,Very Low
Mammographs,Per million population,Switzerland,2014,28.33,1.45,Low
Radiation therapy equipment,Per million population,Switzerland,2014,16.49,1.22,Low
Positron Emission Tomography (PET) scanners,Per million population,Turkish,2014,1.31,0.12,Very Low
Computed Tomography scanners,Per million population,Turkish,2014,13.88,1.14,Low
Magnetic Resonance Imaging units,Per million population,Turkish,2014,9.81,0.99,Very Low
Gamma cameras,Per million population,Turkish,2014,3.37,0.53,Very Low
Mammographs,Per million population,Turkish,2014,11.7,1.07,Low
Radiation therapy equipment,Per million population,Turkish,2014,2.54,0.4,Very Low
Computed Tomography scanners,Per million population,United States,2014,41.04,1.61,Low
Magnetic Resonance Imaging units,Per million population,United States,2014,38.11,1.58,Low
Positron Emission Tomography (PET) scanners,Per million population,United States,2014,5.14,0.71,Very Low
Mammographs,Per million population,United States,2014,43.33,1.64,Low
Positron Emission Tomography (PET) scanners,Per million population,Chile,2014,0.56,-0.25,Very Low
Computed Tomography scanners,Per million population,Brazil,2014,18.88,1.28,Low
Magnetic Resonance Imaging units,Per million population,Brazil,2014,9.15,0.96,Very Low
Computed Tomography scanners,Per million population,Chile,2014,14.79,1.17,Low
Magnetic Resonance Imaging units,Per million population,Chile,2014,9.44,0.97,Very Low
Gamma cameras,Per million population,Chile,2014,1.63,0.21,Very Low
Mammographs,Per million population,Chile,2014,14.79,1.17,Low
Radiation therapy equipment,Per million population,Chile,2014,2.3,0.36,Very Low
Computed Tomography scanners,Per million population,Estonia,2014,19.78,1.3,Low
Magnetic Resonance Imaging units,Per million population,Estonia,2014,11.41,1.06,Low
Positron Emission Tomography (PET) scanners,Per million population,Estonia,2014,2.28,0.36,Very Low
Gamma cameras,Per million population,Estonia,2014,2.28,0.36,Very Low
Mammographs,Per million population,Estonia,2014,9.89,1,Very Low
Radiation therapy equipment,Per million population,Estonia,2014,3.8,0.58,Very Low
Computed Tomography scanners,Per million population,Israel,2014,9.37,0.97,Very Low
Magnetic Resonance Imaging units,Per million population,Israel,2014,3.89,0.59,Very Low
Positron Emission Tomography (PET) scanners,Per million population,Israel,2014,1.1,0.04,Very Low
Gamma cameras,Per million population,Israel,2014,9.86,0.99,Very Low
Mammographs,Per million population,Israel,2014,6.94,0.84,Very Low
Radiation therapy equipment,Per million population,Israel,2014,3.89,0.59,Very Low
Computed Tomography scanners,Per million population,Slovenia,2014,13.09,1.12,Low
Magnetic Resonance Imaging units,Per million population,Slovenia,2014,9.21,0.96,Very Low
Positron Emission Tomography (PET) scanners,Per million population,Slovenia,2014,0.97,-0.01,Very Low
Gamma cameras,Per million population,Slovenia,2014,8.24,0.92,Very Low
Mammographs,Per million population,Slovenia,2014,16,1.2,Low
Radiation therapy equipment,Per million population,Slovenia,2014,5.82,0.76,Very Low
Magnetic Resonance Imaging units,Number,Latvia,2014,25,1.4,Low
Mammographs,Number,Lithuania,2014,40,1.6,Low
Computed Tomography scanners,Number,Latvia,2014,72,1.86,Low
Radiation therapy equipment,Number,Lithuania,2014,25,1.4,Low
Radiation therapy equipment,Per million population,Latvia,2014,4.01,0.6,Very Low
Mammographs,Per million population,Latvia,2014,23.07,1.36,Low
Radiation therapy equipment,Per million population,Lithuania,2014,8.53,0.93,Very Low
Radiation therapy equipment,Number,Latvia,2014,8,0.9,Very Low
Mammographs,Per million population,Lithuania,2014,13.64,1.13,Low
Computed Tomography scanners,Per million population,Latvia,2014,36.11,1.56,Low
Positron Emission Tomography (PET) scanners,Number,Lithuania,2014,2,0.3,Very Low
Magnetic Resonance Imaging units,Number,Lithuania,2014,31,1.49,Low
Magnetic Resonance Imaging units,Per million population,Latvia,2014,12.54,1.1,Low
Gamma cameras,Per million population,Latvia,2014,3.01,0.48,Very Low
Computed Tomography scanners,Number,Lithuania,2014,65,1.81,Low
Positron Emission Tomography (PET) scanners,Per million population,Lithuania,2014,0.68,-0.17,Very Low
Computed Tomography scanners,Per million population,Lithuania,2014,22.17,1.35,Low
Magnetic Resonance Imaging units,Per million population,Lithuania,2014,10.57,1.02,Low
Mammographs,Number,Latvia,2014,46,1.66,Low
Gamma cameras,Number,Latvia,2014,6,0.78,Very Low
Gamma cameras,Number,Lithuania,2014,9,0.95,Very Low
Gamma cameras,Per million population,Lithuania,2014,3.07,0.49,Very Low
Magnetic Resonance Imaging units,Number,Colombia,2014,8,0.9,Very Low
Computed Tomography scanners,Number,Colombia,2014,337,2.53,Medium
Computed Tomography scanners,Per million population,Colombia,2014,7.07,0.85,Very Low
Magnetic Resonance Imaging units,Per million population,Colombia,2014,0.17,-0.77,Very Low
Gamma cameras,Per million population,Croatia,2014,7.55,0.88,Very Low
Radiation therapy equipment,Per million population,Croatia,2014,6.37,0.8,Very Low
Mammographs,Per million population,Croatia,2014,28.8,1.46,Low
Computed Tomography scanners,Per million population,Croatia,2014,15.11,1.18,Low
Magnetic Resonance Imaging units,Per million population,Croatia,2014,10.39,1.02,Low
Positron Emission Tomography (PET) scanners,Per million population,Croatia,2014,1.18,0.07,Very Low
Mammographs,Per million population,Romania,2014,7.53,0.88,Very Low
Radiation therapy equipment,Per million population,Romania,2014,3.57,0.55,Very Low
Radiation therapy equipment,Number,Romania,2014,71,1.85,Low
Magnetic Resonance Imaging units,Number,Bulgaria,2014,51,1.71,Low
Positron Emission Tomography (PET) scanners,Number,Bulgaria,2014,2,0.3,Very Low
Positron Emission Tomography (PET) scanners,Number,Croatia,2014,5,0.7,Very Low
Magnetic Resonance Imaging units,Number,Croatia,2014,44,1.64,Low
Computed Tomography scanners,Number,Bulgaria,2014,247,2.39,Medium
Gamma cameras,Number,Croatia,2014,32,1.51,Low
Radiation therapy equipment,Per million population,Bulgaria,2014,7.2,0.86,Very Low
Computed Tomography scanners,Per million population,Romania,2014,10.75,1.03,Low
Gamma cameras,Number,Bulgaria,2014,27,1.43,Low
Mammographs,Number,Bulgaria,2014,204,2.31,Medium
Mammographs,Number,Croatia,2014,122,2.09,Medium
Radiation therapy equipment,Number,Croatia,2014,27,1.43,Low
Magnetic Resonance Imaging units,Per million population,Romania,2014,4.72,0.67,Very Low
Positron Emission Tomography (PET) scanners,Per million population,Romania,2014,0.25,-0.6,Very Low
Gamma cameras,Per million population,Romania,2014,2.21,0.34,Very Low
Radiation therapy equipment,Number,Bulgaria,2014,52,1.72,Low
Computed Tomography scanners,Number,Croatia,2014,64,1.81,Low
Gamma cameras,Per million population,Bulgaria,2014,3.74,0.57,Very Low
Positron Emission Tomography (PET) scanners,Per million population,Bulgaria,2014,0.28,-0.55,Very Low
Positron Emission Tomography (PET) scanners,Number,Romania,2014,5,0.7,Very Low
Gamma cameras,Number,Romania,2014,44,1.64,Low
Mammographs,Per million population,Bulgaria,2014,28.24,1.45,Low
Mammographs,Number,Romania,2014,150,2.18,Medium
Magnetic Resonance Imaging units,Per million population,Bulgaria,2014,7.06,0.85,Very Low
Computed Tomography scanners,Per million population,Bulgaria,2014,34.19,1.53,Low
Magnetic Resonance Imaging units,Number,Romania,2014,94,1.97,Low
Computed Tomography scanners,Number,Romania,2014,214,2.33,Medium
Computed Tomography scanners,Number,Australia,2010,949,2.98,Medium
Magnetic Resonance Imaging units,Number,Australia,2010,125,2.1,Medium
Positron Emission Tomography (PET) scanners,Number,Australia,2010,31,1.49,Low
Gamma cameras,Number,Australia,2010,455,2.66,Medium
Mammographs,Number,Australia,2010,533,2.73,Medium
Radiation therapy equipment,Number,Australia,2010,205,2.31,Medium
Computed Tomography scanners,Number,Austria,2010,250,2.4,Medium
Magnetic Resonance Imaging units,Number,Austria,2010,156,2.19,Medium
Positron Emission Tomography (PET) scanners,Number,Austria,2010,16,1.2,Low
Gamma cameras,Number,Austria,2010,102,2.01,Medium
Radiation therapy equipment,Number,Austria,2010,43,1.63,Low
Magnetic Resonance Imaging units,Number,Belgium,2010,116,2.06,Medium
Positron Emission Tomography (PET) scanners,Number,Belgium,2010,28,1.45,Low
Gamma cameras,Number,Belgium,2010,322,2.51,Medium
Mammographs,Number,Belgium,2010,427,2.63,Medium
Radiation therapy equipment,Number,Belgium,2010,165,2.22,Medium
Computed Tomography scanners,Number,Canada,2010,484,2.68,Medium
Magnetic Resonance Imaging units,Number,Canada,2010,281,2.45,Medium
Positron Emission Tomography (PET) scanners,Number,Canada,2010,40,1.6,Low
Gamma cameras,Number,Canada,2010,716,2.85,Medium
Computed Tomography scanners,Number,Czechia,2010,152,2.18,Medium
Magnetic Resonance Imaging units,Number,Czechia,2010,66,1.82,Low
Positron Emission Tomography (PET) scanners,Number,Czechia,2010,7,0.85,Very Low
Gamma cameras,Number,Czechia,2010,122,2.09,Medium
Mammographs,Number,Czechia,2010,135,2.13,Medium
Radiation therapy equipment,Number,Czechia,2010,91,1.96,Low
Computed Tomography scanners,Number,Denmark,2010,153,2.18,Medium
Mammographs,Number,Denmark,2010,107,2.03,Medium
Radiation therapy equipment,Number,Denmark,2010,70,1.85,Low
Computed Tomography scanners,Number,Finland,2010,113,2.05,Medium
Magnetic Resonance Imaging units,Number,Finland,2010,100,2,Low
Positron Emission Tomography (PET) scanners,Number,Finland,2010,8,0.9,Very Low
Mammographs,Number,Finland,2010,163,2.21,Medium
Radiation therapy equipment,Number,Finland,2010,48,1.68,Low
Computed Tomography scanners,Number,France,2010,766,2.88,Medium
Magnetic Resonance Imaging units,Number,France,2010,451,2.65,Medium
Positron Emission Tomography (PET) scanners,Number,France,2010,59,1.77,Low
Gamma cameras,Number,France,2010,334,2.52,Medium
Computed Tomography scanners,Number,Germany,2010,2643,3.42,High
Magnetic Resonance Imaging units,Number,Germany,2010,2211,3.34,High
Computed Tomography scanners,Number,Greece,2010,364,2.56,Medium
Magnetic Resonance Imaging units,Number,Greece,2010,255,2.41,Medium
Positron Emission Tomography (PET) scanners,Number,Greece,2010,4,0.6,Very Low
Gamma cameras,Number,Greece,2010,158,2.2,Medium
Mammographs,Number,Greece,2010,584,2.77,Medium
Radiation therapy equipment,Number,Greece,2010,70,1.85,Low
Positron Emission Tomography (PET) scanners,Number,Hungary,2010,4,0.6,Very Low
Gamma cameras,Number,Hungary,2010,109,2.04,Medium
Radiation therapy equipment,Number,Hungary,2010,41,1.61,Low
Computed Tomography scanners,Number,Iceland,2010,12,1.08,Low
Magnetic Resonance Imaging units,Number,Iceland,2010,7,0.85,Very Low
Mammographs,Number,Hungary,2010,144,2.16,Medium
Gamma cameras,Number,Iceland,2010,4,0.6,Very Low
