STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,VAR,Variable,UNIT,Measure,COU,Country,TIME_PERIOD,Year,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBTOTA,Total ICU beds (average),RTOINPNB,Per 1 000 population,MEX,Mexico,2015,,0.07,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBCMAX,Critical care adult beds (maximum),RTOALLNB,Per 100 000 population,ISR,Israel,2015,,9.53,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBAAVG,Total adult ICU beds (average),RTOALLNB,Per 100 000 population,ISR,Israel,2015,,10.05,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBNEON,Total neonatal ICU beds,RTOINPNB,Per 1 000 population,FRA,France,2015,,0.03,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBPAED,Total paediatric ICU beds,RTOALLNB,Per 100 000 population,AUS,Australia,2015,,0.43,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBTOTA,Total ICU beds (average),RTOINPNB,Per 1 000 population,ISR,Israel,2015,,0.21,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBAAVG,Total adult ICU beds (average),RTOINPNB,Per 1 000 population,TUR,Türkiye,2015,,0.25,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBNEON,Total neonatal ICU beds,RTOALLNB,Per 100 000 population,PRT,Portugal,2015,,2.42,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBTOTA,Total ICU beds (average),RTOINPNB,Per 1 000 population,DEU,Germany,2015,,0.34,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBAMAX,Total adult ICU beds (maximum),RTOINPNB,Per 1 000 population,ISR,Israel,2015,,0.1,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBAAVG,Total adult ICU beds (average),RTOALLNB,Per 100 000 population,DEU,Germany,2015,,30.08,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBCAVG,Critical care adult beds (average),RTOALLNB,Per 100 000 population,NLD,Netherlands,2015,,7.13,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBAAVG,Total adult ICU beds (average),RTOALLNB,Per 100 000 population,HUN,Hungary,2015,,11.44,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBCAVG,Critical care adult beds (average),RTOALLNB,Per 100 000 population,TUR,Türkiye,2015,,20.17,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBPAED,Total paediatric ICU beds,RTOINPNB,Per 1 000 population,ISR,Israel,2015,,0.02,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBNEON,Total neonatal ICU beds,RTOALLNB,Per 100 000 population,AUT,Austria,2015,,3.04,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBCAVG,Critical care adult beds (average),RTOINPNB,Per 1 000 population,CHE,Switzerland,2015,,0.08,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBCAVG,Critical care adult beds (average),RTOALLNB,Per 100 000 population,JPN,Japan,2015,,9.37,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUORAVG,Total adult ICU occupancy rate (average),TXOCCUTX,% of available beds,TUR,Türkiye,2015,,71.06,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBPAED,Total paediatric ICU beds,RTOINPNB,Per 1 000 population,LTU,Lithuania,2015,,0.03,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBPAED,Total paediatric ICU beds,RTOALLNB,Per 100 000 population,CHE,Switzerland,2015,,1.44,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBAAVG,Total adult ICU beds (average),RTOINPNB,Per 1 000 population,JPN,Japan,2015,,0.13,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBCMAX,Critical care adult beds (maximum),RTOALLNB,Per 100 000 population,FIN,Finland,2015,,5.47,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUORAVG,Total adult ICU occupancy rate (average),TXOCCUTX,% of available beds,ISR,Israel,2015,,76.72,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBPAED,Total paediatric ICU beds,RTOINPNB,Per 1 000 population,DEU,Germany,2015,,0.01,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBCAVG,Critical care adult beds (average),RTOINPNB,Per 1 000 population,NLD,Netherlands,2015,,0.07,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUORAVG,Total adult ICU occupancy rate (average),TXOCCUTX,% of available beds,AUS,Australia,2015,,70.2,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBAAVG,Total adult ICU beds (average),RTOALLNB,Per 100 000 population,TUR,Türkiye,2015,,25.42,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBTOTA,Total ICU beds (average),RTOINPNB,Per 1 000 population,TUR,Türkiye,2015,,0.4,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBCAVG,Critical care adult beds (average),RTOALLNB,Per 100 000 population,ESP,Spain,2015,,10.38,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBNEON,Total neonatal ICU beds,RTOALLNB,Per 100 000 population,ESP,Spain,2015,,1.58,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBPAED,Total paediatric ICU beds,RTOALLNB,Per 100 000 population,AUT,Austria,2015,,2.64,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUORAVG,Total adult ICU occupancy rate (average),TXOCCUTX,% of available beds,NLD,Netherlands,2015,,73,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBTOTA,Total ICU beds (average),RTOALLNB,Per 100 000 population,AUT,Austria,2015,,27.41,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUORAVG,Total adult ICU occupancy rate (average),TXOCCUTX,% of available beds,AUT,Austria,2015,,75.96,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUORAVG,Total adult ICU occupancy rate (average),TXOCCUTX,% of available beds,LVA,Latvia,2015,,70.7,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBNEON,Total neonatal ICU beds,RTOINPNB,Per 1 000 population,AUT,Austria,2015,,0.03,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBAAVG,Total adult ICU beds (average),RTOINPNB,Per 1 000 population,LTU,Lithuania,2015,,0.21,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBCAVG,Critical care adult beds (average),RTOINPNB,Per 1 000 population,LVA,Latvia,2015,,0.1,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBCAVG,Critical care adult beds (average),RTOALLNB,Per 100 000 population,ISR,Israel,2015,,9.52,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBNEON,Total neonatal ICU beds,RTOALLNB,Per 100 000 population,ISR,Israel,2015,,9.13,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBCAVG,Critical care adult beds (average),RTOALLNB,Per 100 000 population,FRA,France,2015,,15.95,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBTOTA,Total ICU beds (average),RTOINPNB,Per 1 000 population,EST,Estonia,2015,,0.37,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBNEON,Total neonatal ICU beds,RTOALLNB,Per 100 000 population,FRA,France,2015,,2.9,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBAAVG,Total adult ICU beds (average),RTOINPNB,Per 1 000 population,ISR,Israel,2015,,0.1,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBAMAX,Total adult ICU beds (maximum),RTOALLNB,Per 100 000 population,NLD,Netherlands,2015,,13.03,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBAAVG,Total adult ICU beds (average),RTOINPNB,Per 1 000 population,FRA,France,2015,,0.27,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBCAVG,Critical care adult beds (average),RTOINPNB,Per 1 000 population,AUT,Austria,2015,,0.13,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBCMAX,Critical care adult beds (maximum),RTOINPNB,Per 1 000 population,ISR,Israel,2015,,0.1,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBCAVG,Critical care adult beds (average),RTOINPNB,Per 1 000 population,AUS,Australia,2015,,0.07,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBNEON,Total neonatal ICU beds,RTOINPNB,Per 1 000 population,CAN,Canada,2015,,0.04,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBAAVG,Total adult ICU beds (average),RTOINPNB,Per 1 000 population,DEU,Germany,2015,,0.3,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBTOTA,Total ICU beds (average),RTOINPNB,Per 1 000 population,JPN,Japan,2015,,0.17,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBPAED,Total paediatric ICU beds,RTOALLNB,Per 100 000 population,CAN,Canada,2015,,0.63,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBAAVG,Total adult ICU beds (average),RTOINPNB,Per 1 000 population,PRT,Portugal,2015,,0.08,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBNEON,Total neonatal ICU beds,RTOALLNB,Per 100 000 population,DEU,Germany,2015,,2.41,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBTOTA,Total ICU beds (average),RTOALLNB,Per 100 000 population,MEX,Mexico,2015,,6.83,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBNEON,Total neonatal ICU beds,RTOALLNB,Per 100 000 population,TUR,Türkiye,2015,,13.29,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBAAVG,Total adult ICU beds (average),RTOALLNB,Per 100 000 population,JPN,Japan,2015,,12.81,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBNEON,Total neonatal ICU beds,RTOINPNB,Per 1 000 population,PRT,Portugal,2015,,0.02,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUORAVG,Total adult ICU occupancy rate (average),TXOCCUTX,% of available beds,PRT,Portugal,2015,,68.19,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBNEON,Total neonatal ICU beds,RTOINPNB,Per 1 000 population,DEU,Germany,2015,,0.02,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBAAVG,Total adult ICU beds (average),RTOINPNB,Per 1 000 population,CAN,Canada,2015,,0.12,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBNEON,Total neonatal ICU beds,RTOALLNB,Per 100 000 population,JPN,Japan,2015,,4.47,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUORAVG,Total adult ICU occupancy rate (average),TXOCCUTX,% of available beds,DEU,Germany,2015,,81.2,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBPAED,Total paediatric ICU beds,RTOALLNB,Per 100 000 population,DEU,Germany,2015,,1.15,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBNEON,Total neonatal ICU beds,RTOALLNB,Per 100 000 population,CAN,Canada,2015,,4.17,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBAAVG,Total adult ICU beds (average),RTOINPNB,Per 1 000 population,HUN,Hungary,2015,,0.11,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBPAED,Total paediatric ICU beds,RTOINPNB,Per 1 000 population,TUR,Türkiye,2015,,0.02,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBTOTA,Total ICU beds (average),RTOALLNB,Per 100 000 population,PRT,Portugal,2015,,11.49,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBPAED,Total paediatric ICU beds,RTOALLNB,Per 100 000 population,PRT,Portugal,2015,,0.7,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBCMAX,Critical care adult beds (maximum),RTOINPNB,Per 1 000 population,FIN,Finland,2015,,0.05,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBTOTA,Total ICU beds (average),RTOALLNB,Per 100 000 population,EST,Estonia,2015,,37.41,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBPAED,Total paediatric ICU beds,RTOINPNB,Per 1 000 population,CAN,Canada,2015,,0.01,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBTOTA,Total ICU beds (average),RTOALLNB,Per 100 000 population,JPN,Japan,2015,,17.31,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBAAVG,Total adult ICU beds (average),RTOALLNB,Per 100 000 population,AUT,Austria,2015,,21.73,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBCAVG,Critical care adult beds (average),RTOALLNB,Per 100 000 population,ITA,Italy,2015,,8.01,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUORMAX,Total adult ICU occupancy rate (maximum),TXOCCUTX,% of available beds,ISR,Israel,2015,,82.12,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBTOTA,Total ICU beds (average),RTOALLNB,Per 100 000 population,LTU,Lithuania,2015,,24.85,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBPAED,Total paediatric ICU beds,RTOALLNB,Per 100 000 population,JPN,Japan,2015,,0.04,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBAAVG,Total adult ICU beds (average),RTOALLNB,Per 100 000 population,CHE,Switzerland,2015,,10.07,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBPAED,Total paediatric ICU beds,RTOALLNB,Per 100 000 population,LTU,Lithuania,2015,,3.37,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBPAED,Total paediatric ICU beds,RTOINPNB,Per 1 000 population,AUT,Austria,2015,,0.03,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBCAVG,Critical care adult beds (average),RTOINPNB,Per 1 000 population,JPN,Japan,2015,,0.09,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUORAVG,Total adult ICU occupancy rate (average),TXOCCUTX,% of available beds,FRA,France,2015,,84.34,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBNEON,Total neonatal ICU beds,RTOINPNB,Per 1 000 population,JPN,Japan,2015,,0.04,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBTOTA,Total ICU beds (average),RTOINPNB,Per 1 000 population,AUT,Austria,2015,,0.27,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBPAED,Total paediatric ICU beds,RTOINPNB,Per 1 000 population,CHE,Switzerland,2015,,0.01,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBTOTA,Total ICU beds (average),RTOALLNB,Per 100 000 population,DEU,Germany,2015,,33.65,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBCAVG,Critical care adult beds (average),RTOALLNB,Per 100 000 population,AUS,Australia,2015,,6.95,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBCAVG,Critical care adult beds (average),RTOINPNB,Per 1 000 population,IRL,Ireland,2015,,0.05,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBAAVG,Total adult ICU beds (average),RTOALLNB,Per 100 000 population,CAN,Canada,2015,,11.84,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBCAVG,Critical care adult beds (average),RTOINPNB,Per 1 000 population,ISR,Israel,2015,,0.1,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBAAVG,Total adult ICU beds (average),RTOALLNB,Per 100 000 population,PRT,Portugal,2015,,8.37,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBAAVG,Total adult ICU beds (average),RTOINPNB,Per 1 000 population,AUS,Australia,2015,,0.07,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBTOTA,Total ICU beds (average),RTOINPNB,Per 1 000 population,PRT,Portugal,2015,,0.11,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBNEON,Total neonatal ICU beds,RTOINPNB,Per 1 000 population,TUR,Türkiye,2015,,0.13,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUORAVG,Total adult ICU occupancy rate (average),TXOCCUTX,% of available beds,CHE,Switzerland,2015,,79.74,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBCAVG,Critical care adult beds (average),RTOINPNB,Per 1 000 population,TUR,Türkiye,2015,,0.2,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBPAED,Total paediatric ICU beds,RTOALLNB,Per 100 000 population,TUR,Türkiye,2015,,1.54,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBPAED,Total paediatric ICU beds,RTOINPNB,Per 1 000 population,PRT,Portugal,2015,,0.01,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBPAED,Total paediatric ICU beds,RTOINPNB,Per 1 000 population,FRA,France,2015,,0.02,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBTOTA,Total ICU beds (average),RTOALLNB,Per 100 000 population,TUR,Türkiye,2015,,40.25,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBCAVG,Critical care adult beds (average),RTOALLNB,Per 100 000 population,LVA,Latvia,2015,,9.81,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBTOTA,Total ICU beds (average),RTOALLNB,Per 100 000 population,ISR,Israel,2015,,20.85,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBTOTA,Total ICU beds (average),RTOINPNB,Per 1 000 population,CAN,Canada,2015,,0.17,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBAMAX,Total adult ICU beds (maximum),RTOALLNB,Per 100 000 population,ISR,Israel,2015,,10.07,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBNEON,Total neonatal ICU beds,RTOINPNB,Per 1 000 population,ESP,Spain,2015,,0.02,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBAAVG,Total adult ICU beds (average),RTOALLNB,Per 100 000 population,LTU,Lithuania,2015,,21.48,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBAAVG,Total adult ICU beds (average),RTOINPNB,Per 1 000 population,AUT,Austria,2015,,0.22,,A,,,,,,,
DATAFLOW,OECD:DF_HEALTH_REAC(1.0),Healthcare Resources,I,ICUBPAED,Total paediatric ICU beds,RTOALLNB,Per 100 000 population,ISR,Israel,2015,,1.67,,A,,,,,,,
