STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,AGE,Age,SEX,Sex,HEALTH_PROF,Health profession,WORKER_STATUS,Worker status,HEALTH_PROF_ACTIVITY_STATUS,Health profession activity status,PRICE_BASE,Price base,TIME_PERIOD,Time period,OBS_VALUE,Observation value,DECIMALS,Decimals,OBS_STATUS,Observation status,OBS_STATUS2,Observation status 2,OBS_STATUS3,Observation status 3,UNIT_MULT,Unit multiplier,REF_YEAR_PRICE,Price reference year
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,ISL,Iceland,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLPSYS,Psychiatrists,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2018,,0.24,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,ISL,Iceland,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLPSYS,Psychiatrists,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2019,,0.21,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,ISL,Iceland,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLPSYS,Psychiatrists,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2020,,0.2,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,ISL,Iceland,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLPSYS,Psychiatrists,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2021,,0.2,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,ISL,Iceland,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLPSYS,Psychiatrists,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2022,,0.21,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,ISL,Iceland,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLPSYS,Psychiatrists,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2023,,0.2,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,ISL,Iceland,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLPSYS,Psychiatrists,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,0.26,,,,B,Time series break,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,NZL,New Zealand,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLSPMP,Specialist medical practitioners,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2018,,1.85,,,,E,Estimated value,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,NZL,New Zealand,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLSPMP,Specialist medical practitioners,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2019,,1.96,,,,E,Estimated value,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,NZL,New Zealand,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLSPMP,Specialist medical practitioners,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2022,,2.29,,,,E,Estimated value,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,DEU,Germany,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLSPEC,Medical group of specialists,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2018,,1.4,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,DEU,Germany,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLSPEC,Medical group of specialists,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2019,,1.44,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,DEU,Germany,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLSPEC,Medical group of specialists,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2020,,1.46,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,DEU,Germany,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLSPEC,Medical group of specialists,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2021,,1.49,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,DEU,Germany,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLSPEC,Medical group of specialists,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2022,,1.49,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,ISL,Iceland,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLSPMP,Specialist medical practitioners,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2021,,2.23,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,ISL,Iceland,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLSPMP,Specialist medical practitioners,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2022,,2.25,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,ISL,Iceland,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLSPMP,Specialist medical practitioners,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2023,,2.3,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,USA,United States,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLSPEC,Medical group of specialists,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2018,,0.75,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,USA,United States,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLSPEC,Medical group of specialists,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2019,,0.75,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,USA,United States,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLSPEC,Medical group of specialists,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2020,,0.75,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,USA,United States,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLSPEC,Medical group of specialists,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2021,,0.76,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,USA,United States,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLSPEC,Medical group of specialists,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2022,,0.79,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,USA,United States,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLSPEC,Medical group of specialists,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2015,,0.74,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,USA,United States,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLSPEC,Medical group of specialists,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,0.75,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,USA,United States,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLSPEC,Medical group of specialists,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2017,,0.75,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,ISL,Iceland,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLSPMP,Specialist medical practitioners,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,2.44,,,,B,Time series break,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,ISL,Iceland,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLSPMP,Specialist medical practitioners,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2015,,2.19,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,ISL,Iceland,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLSPMP,Specialist medical practitioners,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2017,,2.32,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,ISL,Iceland,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLSPMP,Specialist medical practitioners,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2018,,2.27,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,ISL,Iceland,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLSPMP,Specialist medical practitioners,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2019,,2.26,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,ISL,Iceland,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLSPMP,Specialist medical practitioners,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2020,,2.25,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,AUT,Austria,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLGENP,General practitioners,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2017,,0.75,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,NZL,New Zealand,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLSPMP,Specialist medical practitioners,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2020,,2.15,,,,E,Estimated value,B,Time series break,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,NZL,New Zealand,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLSPMP,Specialist medical practitioners,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2015,,1.65,,,,E,Estimated value,B,Time series break,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,NZL,New Zealand,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLSPMP,Specialist medical practitioners,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,1.74,,,,E,Estimated value,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,AUT,Austria,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLGENP,General practitioners,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2023,,0.73,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,AUT,Austria,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLGENP,General practitioners,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2015,,0.77,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,AUT,Austria,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLGENP,General practitioners,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,0.76,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,GRC,Greece,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLGENP,General practitioners,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2019,,0.35,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,GRC,Greece,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLGENP,General practitioners,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2020,,0.36,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,GRC,Greece,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLGENP,General practitioners,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2021,,0.37,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,GRC,Greece,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLGENP,General practitioners,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2022,,0.38,,,,E,Estimated value,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,GRC,Greece,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLGENP,General practitioners,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2015,,0.32,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,GRC,Greece,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLGENP,General practitioners,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,0.33,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,GRC,Greece,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLGENP,General practitioners,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2017,,0.34,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,GRC,Greece,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLGENP,General practitioners,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2018,,0.34,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,COL,Colombia,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLGENP,General practitioners,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2019,,1.76,,,,E,Estimated value,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,COL,Colombia,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLGENP,General practitioners,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2020,,1.81,,,,E,Estimated value,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,COL,Colombia,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLGENP,General practitioners,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2015,,1.57,,,,E,Estimated value,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,COL,Colombia,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLGENP,General practitioners,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,1.61,,,,E,Estimated value,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,COL,Colombia,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLGENP,General practitioners,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2017,,1.66,,,,E,Estimated value,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,COL,Colombia,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLGENP,General practitioners,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2018,,1.72,,,,E,Estimated value,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,LTU,Lithuania,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLSPMP,Specialist medical practitioners,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2015,,3.37,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,LTU,Lithuania,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLSPMP,Specialist medical practitioners,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,3.47,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,LTU,Lithuania,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLSPMP,Specialist medical practitioners,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2017,,3.51,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,LTU,Lithuania,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLSPMP,Specialist medical practitioners,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2018,,3.57,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,LTU,Lithuania,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLSPMP,Specialist medical practitioners,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2019,,3.54,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,LTU,Lithuania,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLSPMP,Specialist medical practitioners,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2020,,3.51,,,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_EMP_REAC@DF_PHYS_CAT(1.0),Physicians by categories,I,LTU,Lithuania,HSE,Health and social employment,10P3HB,Per 1 000 inhabitants,_Z,Not applicable,_Z,Not applicable,EMPLSPMP,Specialist medical practitioners,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2021,,3.44,,,,,,,,,,,,,
